#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_fiji;Fiji;Fiji;Fiji;;Fiji;;;;;;;;;x
k_fiji_adj;Fijian;;fijer;;;;;;;;;;;x
k_gilbert_marshalls;Gilbert-Marshalls;Gilbert-Marshalls;Gilbert-Marshalls;;Gilbert-Marshalls;;;;;;;;;x
k_gilbert_marshalls_adj;Gilbert-Marshallsian;;gilbert-marshallser;;;;;;;;;;;x
k_melanesia;Melanesia;Melanesia;Melanesia;;Melanesia;;;;;;;;;x
k_melanesia_adj;Melanesian;;melaneser;;;;;;;;;;;x
k_micronesia;Micronesia;Micronesia;Micronesia;;Micronesia;;;;;;;;;x
k_micronesia_adj;Micronesian;;microneser;;;;;;;;;;;x
k_polynesia;Polynesia;Polynesia;Polynesia;;Polynesia;;;;;;;;;x
k_polynesia_adj;Polynesian;;polyneser;;;;;;;;;;;x
