#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abaiang;Abaiang;Abaiang;Abaiang;;Abaiang;;;;;;;;;x
b_abaiang_adj;Abaiangian;;abaianger;;;;;;;;;;;x
b_abemama;Abemama;Abemama;Abemama;;Abemama;;;;;;;;;x
b_abemama_adj;Abemaman;;abemamer;;;;;;;;;;;x
b_ablow;Ablow;Ablow;Ablow;;Ablow;;;;;;;;;x
b_ablow_adj;Ablowian;;ablower;;;;;;;;;;;x
b_abnetare;Abnetare;Abnetare;Abnetare;;Abnetare;;;;;;;;;x
b_abnetare_adj;Abnetarean;;abnetarer;;;;;;;;;;;x
b_abwatunbuliva;Abwatunbuliva;Abwatunbuliva;Abwatunbuliva;;Abwatunbuliva;;;;;;;;;x
b_abwatunbuliva_adj;Abwatunbulivan;;abwatunbuliver;;;;;;;;;;;x
b_afega;Afega;Afega;Afega;;Afega;;;;;;;;;x
b_afega_adj;Afegan;;afeger;;;;;;;;;;;x
b_agrihan;Agrihan;Agrihan;Agrihan;;Agrihan;;;;;;;;;x
b_agrihan_adj;Agrihanian;;agrihaner;;;;;;;;;;;x
b_ahau;'Ahau;'Ahau;'Ahau;;'Ahau;;;;;;;;;x
b_ahau_adj;'Ahian;;'aher;;;;;;;;;;;x
b_ailinginae;Ailinginae;Ailinginae;Ailinginae;;Ailinginae;;;;;;;;;x
b_ailinginae_adj;Ailinginaean;;ailinginer;;;;;;;;;;;x
b_ailinglaplap;Ailinglaplap;Ailinglaplap;Ailinglaplap;;Ailinglaplap;;;;;;;;;x
b_ailinglaplap_adj;Ailinglaplapian;;ailinglaplaper;;;;;;;;;;;x
b_ailuk;Ailuk;Ailuk;Ailuk;;Ailuk;;;;;;;;;x
b_ailuk_adj;Ailukian;;ailuker;;;;;;;;;;;x
b_ainri;Ainri;Ainri;Ainri;;Ainri;;;;;;;;;x
b_ainri_adj;Ainrian;;ainrer;;;;;;;;;;;x
b_aiwo;Aiwo;Aiwo;Aiwo;;Aiwo;;;;;;;;;x
b_aiwo_adj;Aiwian;;aiwer;;;;;;;;;;;x
b_ajeltake;Ajeltake;Ajeltake;Ajeltake;;Ajeltake;;;;;;;;;x
b_ajeltake_adj;Ajeltakean;;ajeltaker;;;;;;;;;;;x
b_akaaka;Aka'aka;Aka'aka;Aka'aka;;Aka'aka;;;;;;;;;x
b_akaaka_adj;Aka'akan;;aka'aker;;;;;;;;;;;x
b_alamagan;Alamagan;Alamagan;Alamagan;;Alamagan;;;;;;;;;x
b_alamagan_adj;Alamaganian;;alamaganer;;;;;;;;;;;x
b_alele;Alele;Alele;Alele;;Alele;;;;;;;;;x
b_alele_adj;Alelean;;aleler;;;;;;;;;;;x
b_alofi;Alofi;Alofi;Alofi;;Alofi;;;;;;;;;x
b_alofi_adj;Alofian;;alofer;;;;;;;;;;;x
